Date,Open,High,Low,Close,Volume
2024-04-28,10.559999999999999,10.9,10.52,10.809999999999999,2169177
2024-04-29,10.8,10.88,10.73,10.790000000000001,1324557
2024-05-05,10.959999999999999,11.11,10.84,10.89,1784101
2024-05-06,10.87,10.89,10.76,10.879999999999999,1087057
2024-05-07,10.840000000000002,10.88,10.71,10.73,1221791
2024-05-08,10.71,10.82,10.71,10.760000000000002,1069461
2024-05-09,10.77,10.959999999999999,10.76,10.94,1767836
2024-05-12,10.9,11.01,10.81,10.97,1402499
2024-05-13,11.0,11.06,10.88,10.91,1075784
2024-05-14,10.9,10.92,10.81,10.83,868297
2024-05-15,10.85,11.21,10.83,11.17,3076292
2024-05-16,11.180000000000001,11.42,11.13,11.42,2841749
2024-05-19,11.43,11.530000000000001,11.31,11.38,2170210
2024-05-20,11.32,11.620000000000001,11.31,11.55,2030049
2024-05-21,11.56,11.74,11.46,11.56,2115531
2024-05-22,11.530000000000001,11.590000000000002,11.370000000000001,11.4,1841623
2024-05-23,11.370000000000001,11.49,11.3,11.31,1398276
2024-05-26,11.31,11.530000000000001,11.31,11.51,1454361
2024-05-27,11.5,11.58,11.36,11.399999999999999,1204323
2024-05-28,11.38,11.450000000000001,11.23,11.26,1444811
2024-05-29,11.24,11.34,11.06,11.120000000000001,1325496
2024-05-30,11.139999999999999,11.19,11.11,11.11,826707
2024-06-02,11.120000000000001,11.13,10.91,10.98,1326697
2024-06-03,10.95,11.05,10.91,11.02,981005
2024-06-04,11.040000000000001,11.07,10.870000000000001,10.870000000000001,1018968
2024-06-05,10.9,10.98,10.88,10.9,1049332
2024-06-06,10.92,11.01,10.89,10.99,1170126
2024-06-10,10.98,11.020000000000001,10.790000000000001,10.870000000000001,1337629
2024-06-11,10.85,10.91,10.78,10.879999999999999,957426
2024-06-12,10.89,10.930000000000001,10.8,10.8,1203508
2024-06-13,10.15,10.23,9.99,10.18,1637990
2024-06-16,10.13,10.16,10.08,10.1,681217
2024-06-17,10.110000000000001,10.16,10.040000000000001,10.08,700653
2024-06-18,10.1,10.21,10.08,10.15,796184
2024-06-19,10.16,10.17,10.05,10.05,629628
2024-06-20,10.05,10.090000000000002,9.950000000000001,10.000000000000002,830545
2024-06-23,9.97,10.07,9.88,9.98,947082
2024-06-24,9.99,10.13,9.98,10.08,769993
2024-06-25,10.059999999999999,10.129999999999999,10.02,10.08,628599
2024-06-26,10.06,10.21,10.0,10.13,928882
2024-06-27,10.1,10.26,10.09,10.15,918090
2024-06-30,10.090000000000002,10.350000000000001,10.040000000000001,10.350000000000001,1343051
2024-07-01,10.299999999999999,10.479999999999999,10.28,10.399999999999999,1384386
2024-07-02,10.4,10.430000000000001,10.290000000000001,10.31,713067
2024-07-03,10.3,10.38,10.25,10.26,735044
2024-07-04,10.26,10.29,9.92,9.97,1713354
2024-07-07,9.94,10.02,9.85,9.93,868660
2024-07-08,9.94,10.1,9.91,10.07,1032485
2024-07-09,10.07,10.200000000000001,10.05,10.14,873865
2024-07-10,10.21,10.23,10.07,10.13,721392
2024-07-11,10.120000000000001,10.31,10.120000000000001,10.31,1214164
2024-07-14,10.31,10.35,10.26,10.33,869412
2024-07-15,10.33,10.370000000000001,10.24,10.3,943008
2024-07-16,10.299999999999999,10.42,10.28,10.399999999999999,1220168
2024-07-17,10.38,10.430000000000001,10.3,10.41,1087061
2024-07-18,10.38,10.420000000000002,10.290000000000001,10.370000000000001,898723
2024-07-21,10.36,10.379999999999999,10.19,10.229999999999999,994481
2024-07-22,10.25,10.33,10.16,10.18,1020154
2024-07-23,10.180000000000001,10.24,10.120000000000001,10.13,724518
2024-07-24,10.12,10.15,10.0,10.09,856404
2024-07-25,10.100000000000001,10.120000000000001,9.97,10.030000000000001,929552
2024-07-28,10.020000000000001,10.14,9.97,10.110000000000001,781552
2024-07-29,10.1,10.129999999999999,10.03,10.08,613268
2024-07-30,10.08,10.280000000000001,10.07,10.27,1096906
2024-07-31,10.25,10.32,10.17,10.27,733884
2024-08-01,10.22,10.25,10.13,10.14,590229
2024-08-04,10.110000000000001,10.22,10.05,10.05,758979
2024-08-05,10.07,10.120000000000001,9.89,9.93,1265537
2024-08-06,9.95,9.98,9.91,9.93,517608
2024-08-07,9.92,9.98,9.9,9.94,500411
2024-08-08,9.959999999999999,10.1,9.94,10.04,730274
2024-08-11,10.02,10.05,9.98,10.01,353013
2024-08-12,10.02,10.03,9.92,9.95,622077
2024-08-13,9.94,9.98,9.91,9.92,436380
2024-08-14,9.920000000000002,10.06,9.870000000000001,10.030000000000001,776247
2024-08-15,10.08,10.21,10.05,10.13,1260368
2024-08-18,10.13,10.3,10.120000000000001,10.290000000000001,1482985
2024-08-19,10.319999999999999,10.43,10.28,10.34,1569187
2024-08-20,10.3,10.38,10.21,10.350000000000001,1034888
2024-08-21,10.34,10.450000000000001,10.32,10.38,1109030
2024-08-22,10.39,10.5,10.32,10.47,1071906
2024-08-25,10.5,10.55,10.42,10.49,740675
2024-08-26,10.47,10.520000000000001,10.370000000000001,10.430000000000001,723137
2024-08-27,10.41,10.43,10.28,10.33,942548
2024-08-28,10.309999999999999,10.379999999999999,10.11,10.129999999999999,1197676
2024-08-29,10.11,10.26,10.11,10.16,1294059
2024-09-01,10.12,10.209999999999999,10.09,10.11,968836
2024-09-02,10.11,10.13,10.0,10.08,916581
2024-09-03,10.05,10.15,10.0,10.02,847992
2024-09-04,10.030000000000001,10.08,9.98,10.07,594209
2024-09-05,10.06,10.21,10.05,10.08,878865
2024-09-08,10.05,10.07,9.84,9.85,1639175
2024-09-09,9.86,9.92,9.78,9.899999999999999,767901
2024-09-10,9.88,9.88,9.63,9.65,1108727
2024-09-11,9.649999999999999,9.77,9.61,9.74,581834
2024-09-12,9.73,9.82,9.700000000000001,9.700000000000001,566462
2024-09-17,9.72,9.78,9.66,9.77,443611
2024-09-18,9.79,9.84,9.68,9.81,684293
2024-09-19,9.809999999999999,9.899999999999999,9.78,9.899999999999999,797297
2024-09-22,9.89,10.090000000000002,9.870000000000001,10.040000000000001,896908
2024-09-23,10.11,10.37,10.08,10.37,1638213
2024-09-24,10.520000000000001,10.700000000000001,10.450000000000001,10.500000000000002,2160694
2024-09-25,10.5,11.15,10.5,11.15,3086457
2024-09-26,11.35,11.559999999999999,11.03,11.42,3840016
2024-09-29,11.620000000000001,12.3,11.56,12.21,5430284
2024-10-07,13.43,13.43,12.34,12.879999999999999,5888978
2024-10-08,12.63,12.63,11.66,11.68,4269345
2024-10-09,11.62,12.26,11.6,11.98,3426422
2024-10-10,12.0,12.17,11.58,11.72,2070891
2024-10-13,11.98,12.180000000000001,11.790000000000001,12.020000000000001,2400595
2024-10-14,11.940000000000001,12.23,11.88,11.9,2072841
2024-10-15,11.799999999999999,12.18,11.77,12.059999999999999,1914494
2024-10-16,12.07,12.23,11.93,11.95,1653708
2024-10-17,11.91,12.18,11.68,12.04,2604654
2024-10-20,11.940000000000001,11.940000000000001,11.63,11.81,2806655
2024-10-21,11.76,11.930000000000001,11.72,11.790000000000001,1617787
2024-10-22,11.82,11.89,11.75,11.86,1511866
2024-10-23,11.81,11.860000000000001,11.72,11.75,885299
2024-10-24,11.77,11.78,11.69,11.709999999999999,1105755
2024-10-27,11.68,11.68,11.53,11.639999999999999,1169487
2024-10-28,11.62,11.74,11.53,11.54,1198025
2024-10-29,11.5,11.58,11.27,11.32,1482403
2024-10-30,11.33,11.44,11.24,11.38,1250205
2024-10-31,11.379999999999999,11.55,11.34,11.43,1589811
2024-11-03,11.43,11.459999999999999,11.26,11.459999999999999,1131516
2024-11-04,11.42,11.66,11.39,11.65,1665418
2024-11-05,11.620000000000001,11.64,11.47,11.55,1462286
2024-11-06,11.5,11.93,11.48,11.91,2242844
2024-11-07,11.940000000000001,12.010000000000002,11.700000000000001,11.72,1895104
2024-11-10,11.63,11.680000000000001,11.47,11.600000000000001,1486952
2024-11-11,11.58,11.84,11.51,11.54,1717663
2024-11-12,11.5,11.700000000000001,11.48,11.610000000000001,1086263
2024-11-13,11.59,11.7,11.53,11.54,1159783
2024-11-14,11.5,11.61,11.42,11.44,1215784
